iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp
384,CDI2105,2105,21-March-2020,2020,2,Riots,Violent demonstration,Rioters (Ivory Coast),NA,5,Police Forces of the Ivory Coast (2011-),NA,1,15,Western Africa,Ivory Coast,Yamoussoukro,District Autonome De Yamoussoukro,NA,Attiegouakro,6.776,-5.116,1,Soir Info,National,"During the weekend of 21 March 2020, residents demonstrated in Attiegouakro village (District Autonome de Yamoussoukro, Yamoussoukro) against a person that they accuse of using witchcraft to kill 7 members of the same family after a land dispute one month ago. The demonstrators burnt two houses and threw stones at the security forces (assumed Police Forces) who intervened to disperse them. [size=no report]",0,1585691814
384,CDI2107,2107,23-March-2020,2020,1,Strategic developments,Other,Government of the Ivory Coast (2011-),NA,1,NA,NA,0,10,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,3,Koaci News; AFP; Akody; Reuters; RTI; Fratmat; Xinhua,National-Regional,"On 23 March 2020, the government of Ivory Coast declared the state of emergency to combat the coronavirus, banning gatherings and instituting a curfew from 9 p.m to 5 a.m.",0,1585691814
384,CDI2108,2108,24-March-2020,2020,1,Violence against civilians,Attack,Police Forces of the Ivory Coast (2011-),Military Forces of the Ivory Coast (2011-) Gendarmerie,1,Civilians (Ivory Coast),NA,7,17,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Afrique sur 7; Soir Info,National-Regional,"On 24 March 2020, the police and Gendarmerie forces reportedly beat up several people in Abidjan city (District Autonome D'Abidjan, Abidjan), accused of violating the curfew measure instituted to combat the spread of the coronavirus. One car driver tried to escape the police forces and hit and injured a police officer.",0,1585691814
384,CDI2109,2109,24-March-2020,2020,1,Riots,Violent demonstration,Rioters (Ivory Coast),NA,5,NA,NA,0,50,Western Africa,Ivory Coast,Sassandra Marahoue,Haut-Sassandra,NA,Daloa,6.875,-6.452,1,Akody; Fratmat,National,"On 24 March 2020, several youths demonstrated in Daloa town (Haut-Sassandra, Sassandra-Marahoue) against the curfew decided by the government to combat the coronavirus. They erected barricades on several roads. [size=several]",0,1616530987
384,CDI2113,2113,24-March-2020,2020,1,Riots,Mob violence,Rioters (Ivory Coast),NA,5,Police Forces of the Ivory Coast (2011-),Military Forces of the Ivory Coast (2011-) Gendarmerie,1,15,Western Africa,Ivory Coast,Goh Djiboua,Loh-Djiboua,NA,Divo,5.95,-5.25,2,Soir Info,National,"On 24 March 2020, a group of youths threw stones at and beat up a police officer and two gendarmes who were part of a coronavirus related curfew monitoring patrol in Divo division (Loh-Djiboua, Goh Djiboua). [size=no report]",0,1586300977
384,CDI2110,2110,26-March-2020,2020,1,Battles,Armed clash,Unidentified Armed Group (Ivory Coast),NA,3,Military Forces of the Ivory Coast (2011-) Gendarmerie,NA,1,13,Western Africa,Ivory Coast,Bas-Sassandra,San Pedro,NA,Tabou,4.423,-7.353,2,Akody; Fratmat; Koaci News; Afrik Soir,National,"On 26 March 2020, a group of unidentified individuals attacked a border checkpoint on Yaka bridge, 3 kilometres away from Tabou town (San-Pedro, Bas-Sassandra), killing one gendarme and severely injuring another.",1,1585691814
384,CDI2114,2114,31-March-2020,2020,1,Protests,Peaceful protest,Protesters (Ivory Coast),NA,6,NA,NA,0,60,Western Africa,Ivory Coast,Comoe,Sud-Comoe,NA,Bassam,5.202,-3.735,1,Soir Info,National,"On 31 March 2020, travellers demonstrated in Bassam town (Grand-Bassam, Sud-Comoe) against the traffic congestion caused by controls on the road in the context of measures against the coronavirus. [size=no report]",0,1586212553
384,CDI2115,2115,02-April-2020,2020,1,Riots,Mob violence,Rioters (Ivory Coast),Agni Ethnic Group (Ivory Coast); Vigilante Group (Ivory Coast),5,Rioters (Ivory Coast),Malinke Ethnic Group (Ivory Coast),5,55,Western Africa,Ivory Coast,Lacs,Moronou,NA,Bongouanou,6.652,-4.204,2,Akody; Soir Info; Ivoire Times,National,"On 2 April 2020, a group of Agni ethnic individuals beat up and severely injured a Malinke individual, resulting in clashes between the two communities in Agbossou village, Bongouanou subdivision (Moronou, Lacs). The violence occurred after the victim injured an Agni ethnic girl in a road accident. [size=no report]",0,1586814290
384,CDI2116,2116,05-April-2020,2020,1,Riots,Violent demonstration,Rioters (Ivory Coast),NA,5,Civilians (Guinea),Health Workers (Guinea),7,57,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Reuters; News Abidjan; Ivoire Times; Afrique sur 7; Fratmat; Connection Ivoirienne; AIP (Ivory Coast); Abidjan TV; AFP; Soir Info; Koaci News; Atoo,National-Regional,"On 5 April 2020, tens of residents demonstrated and destroyed a coronavirus medical test centre that was being built in Yopougon neighbourhood of Abidjan city (District Autonome D'Abidjan, Abidjan). They say the centre was located in a crowded residential area, and could put them at risk. 21 people were arrested. [size=tens]",0,1586814290
384,CDI2117,2117,05-April-2020,2020,1,Battles,Armed clash,Agni Ethnic Militia (Ivory Coast),NA,4,Malinke Ethnic Militia (Ivory Coast),NA,4,44,Western Africa,Ivory Coast,Lacs,Moronou,NA,Bongouanou,6.652,-4.204,2,Akody; Ivoire Times; Soir Info,National,"On 5 April 2020, members of the Agni and Malinke ethnic communities clashed in Agbossou village, Bongouanou subdivision (Moronou, Lacs). The clashes broke out after Agni people accused a Malinke person of disrespecting their traditional chief during a conciliatory meeting, after the 2 April clash. Several houses were burnt, and several people injured. The gendarmerie forces intervened to settle the situation.",0,1586814290
384,CDI2118,2118,06-April-2020,2020,1,Riots,Violent demonstration,Rioters (Ivory Coast),NA,5,Police Forces of the Ivory Coast (2011-),NA,1,15,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Ivoire Times; Koaci News; AFP,National-International,"On 6 April 2020, for the second day in a row, residents demonstrated in Yopougon neighbourhood of Abidjan city (District Autonome D'Abidjan, Abidjan) against the construction of a coronavirus medical tests centre. The police forces reportedly fired tear gas to disperse them. 12 people were arrested. Clashes were also reported in the Koumassi neighbourhood of Abidjan city. [size=at least 12]",0,1586900813
384,CDI2120,2120,08-April-2020,2020,1,Riots,Violent demonstration,Rioters (Ivory Coast),NA,5,Military Forces of the Ivory Coast (2011-) Gendarmerie,Civilians (Ivory Coast); Labour Group (Ivory Coast),1,15,Western Africa,Ivory Coast,Montagnes,Guemon,NA,Bangolo,7.007,-7.475,1,Ivoire Times; RTI; Fratmat; Soir Info,National-Regional,"On 8 April 2020, several residents blocked the road and attacked a drugs transport truck in Bangolo town (Guemon, Montagnes), as they suspected it to be 'transporting the coronavirus'. The Gendarmerie forces intervened to free to road for the truck. [size=several]",0,1586900813
384,CDI2119,2119,08-April-2020,2020,1,Protests,Peaceful protest,Protesters (Ivory Coast),NA,6,NA,NA,0,60,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Koaci News; Soir Info,National,"On 8 April 2020, residents demonstrated in Cocody-Anono neighbourhood of Abidjan city (District Autonome D'Abidjan, Abidjan). Conflicting reasons suggest that the protest was either related to the installation of a coronavirus medical test centre, or, according to health authorities, a land dispute. [size=no report]",0,1586814290
384,CDI2121,2121,10-April-2020,2020,1,Battles,Armed clash,Diourouzon Communal Militia (Ivory Coast),NA,4,Diahondy Communal Militia (Ivory Coast),NA,4,44,Western Africa,Ivory Coast,Montagnes,Montagnes,NA,Beoue-Zibiao,7.115,-7.387,2,Koaci News; News Abidjan; Connection Ivoirienne; Abidjan TV; Ivoire Times; Fratmat,National,"On 10 April 2020, villagers of Diourouzon engaged in a fire fight with villagers of Diahondy in Diahondy village, Beoue-Zibiao subdivision (Guemon, Montagnes). The clashes escalated after residents of Diourouzon refused the burial of a deceased villager from Diahondy in their cemetery. One person was shot and killed, and 17 people severely injured. The gendarmerie forces later intervened to calm the situation.",1,1586814290
384,CDI2122,2122,11-April-2020,2020,1,Violence against civilians,Attack,Military Forces of the Ivory Coast (2011-),NA,1,Civilians (Ivory Coast),NA,7,17,Western Africa,Ivory Coast,Montagnes,Guemon,NA,Duekoue,6.742,-7.349,2,Xinhua; Atoo; Akody; Fratmat; News Abidjan; Afrik Soir,National-International,"On 11 April 2020, the military forces raided Pascalkro and Amedekro neighbourhoods in Duekoue town (Guemon, Montagnes) over alleged coronavirus curfew breaches. They reportedly beat several residents and extorted them of 5 million CFA. The army later announced the arrest of 4 military men including one officer in relation to the incident.",0,1587417445
384,CDI2123,2123,12-April-2020,2020,1,Riots,Violent demonstration,Rioters (Ivory Coast),NA,5,Military Forces of the Ivory Coast (2011-) Gendarmerie,NA,1,15,Western Africa,Ivory Coast,Lagunes,Me,NA,Akoupe,6.384,-3.89,1,Fratmat,National,"On 12 April 2020, a group of youths threw stones at the gendarmes in charge of enforcing the coronavirus curfew in Akoupe town (Me, Lagunes). [size=no report]",0,1587417446
384,CDI2124,2124,15-April-2020,2020,1,Riots,Violent demonstration,Rioters (Ivory Coast),NA,5,Military Forces of the Ivory Coast (2011-) Gendarmerie,NA,1,15,Western Africa,Ivory Coast,Montagnes,Guemon,NA,Bangolo,7.007,-7.475,2,Fratmat,National,"On 15 April 2020, residents demonstrated in Kahin-Zarabaon, Bangolo subdivision (Guemon, Montagnes) against gendarmerie forces that they accuse of causing the death of a 10-month baby. The parents of the baby were stopped at a control post as they were taking him to the hospital, resulting in their delayed arrival and the death of the baby. The demonstrators destroyed the post of control, and other facilities. [size=no report]",0,1587417446
384,CDI2125,2125,16-April-2020,2020,1,Riots,Violent demonstration,Rioters (Ivory Coast),Abidji Ethnic Group (Ivory Coast),5,Police Forces of the Ivory Coast (2011-),NA,1,15,Western Africa,Ivory Coast,Lagunes,Agneby-Tiassa,NA,Sikensi,5.669,-4.57,1,Abidjan TV; Fratmat; Afrik Soir; Connection Ivoirienne,National,"On 16 April 2020, Abidji ethnic individuals clashed with the police forces in Gomon and Sikensi villages (Agneby-Tiassa, Lagunes) as they tried to prevent a traditional ceremony in application of the restriction of gatherings to combat the coronavirus. [size=no report]",0,1587417445
384,CDI2127,2127,16-April-2020,2020,1,Riots,Violent demonstration,Rioters (Ivory Coast),Abidji Ethnic Group (Ivory Coast),5,Police Forces of the Ivory Coast (2011-),NA,1,15,Western Africa,Ivory Coast,Lagunes,Agneby-Tiassa,NA,Gomon,5.724,-4.44,1,Afrik Soir; Fratmat; Abidjan TV; Connection Ivoirienne,National,"On 16 April 2020, Abidji ethnic individuals clashed with the police forces in Gomon and Sikensi villages (Agneby-Tiassa, Lagunes) as they tried to prevent a traditional ceremony in application of the restriction of gatherings to combat the coronavirus. [size=no report]",0,1587417445
384,CDI2126,2126,17-April-2020,2020,1,Battles,Armed clash,Amangbeu Communal Militia (Ivory Coast),NA,4,Amangbeu Communal Militia (Ivory Coast),NA,4,44,Western Africa,Ivory Coast,Lagunes,Agneby-Tiassa,NA,Rubino,6.07,-4.311,2,Fratmat,National,"On 17 April 2020, armed supporters of a local traditional chief clashed with his opponents in Amangbeu village, Rubino subdivision (Agneby-Tiassa, Lagunes). Three people were severely injured.",0,1587417446
384,CDI2128,2128,20-April-2020,2020,1,Riots,Mob violence,Rioters (Ivory Coast),Vigilante Group (Ivory Coast),5,Civilians (Ivory Coast),NA,7,57,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Soir Info,National,"On 20 April 2020, residents captured and beat a suspected thief to death in Yopougon area of Abidjan city (District Autonome D'Abidjan, Abidjan). [size=no report]",1,1588021334
384,CDI2130,2130,20-April-2020,2020,1,Battles,Armed clash,Militia (Miners),NA,3,Militia (Miners),NA,3,33,Western Africa,Ivory Coast,Vallee du Bandama,Hambol,NA,Niakaramandougou,8.433,-5.117,2,AIP (Ivory Coast); Abidjan TV,National,"On 20 April 2020, two groups of gold miners armed with machetes and sticks clashed in Sogbeni 2 village, Niakaramandougou subdivision (Hambol, Vallee du Bandama) over the use of a goldmine. Two people were killed.",2,1588021332
384,CDI2129,2129,20-April-2020,2020,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Ivory Coast),NA,3,Civilians (Ivory Coast),NA,7,37,Western Africa,Ivory Coast,Zanzan,Gontougo,NA,Bondoukou,8.04,-2.799,1,News Abidjan,National,"As reported on 20 April 2020, unidentified individuals set fire to a primary school in Bondoukou village (Gontougo, Zanzan). No fatality and/or casualty reported.",0,1588021334
384,CDI2131,2131,21-April-2020,2020,1,Riots,Mob violence,Rioters (Ivory Coast),NA,5,Microbes Youth Militia,NA,4,45,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Soir Info,National,"On 21 April 2020, residents clashed with 'microbes' in Yopougon neighbourhood of Abidjan city (District Autonome D'Abidjan, Abidjan), over the killing of a young microbe who was caught stealing the previous day. Several microbes were injured. [size=at least several]",0,1588021334
384,CDI2132,2132,21-April-2020,2020,1,Violence against civilians,Attack,Police Forces of the Ivory Coast (2011-),NA,1,Civilians (Ivory Coast),Street Traders (Ivory Coast),7,17,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Yopougon,5.346,-4.066,1,Soir Info,National,"On 21 April 2020, the police forces damaged stalls and beat up several traders as they were closing the Koute market, in Yopougon neighbourhood of Abidjan city (District Autonome D'Abidjan, Abidjan). They were enforcing the counter coronavirus measures.",0,1588021334
384,CDI2156,2156,22-April-2020,2020,1,Battles,Armed clash,Dozo Communal Militia (Ivory Coast),NA,4,Military Forces of the Ivory Coast (2011-) Gendarmerie,NA,1,14,Western Africa,Ivory Coast,Goh Djiboua,Goh,NA,Gagnoa,6.132,-5.951,1,Soir Info,National,"On 22 April 2020, a Dozo militiaman reportedly mistakenly opened fire on gendarmes during a coronavirus curfew patrol in Gagnoa town (Goh, Goh Djiboua), injuring one gendarme.",0,1591646811
384,CDI2133,2133,22-April-2020,2020,1,Battles,Armed clash,Wotte Communal Militia (Ivory Coast),NA,4,Wessetto Communal Militia (Ivory Coast),NA,4,44,Western Africa,Ivory Coast,Bas-Sassandra,San Pedro,NA,Grabo,4.917,-7.5,1,Koaci News,National,"On 22 April 2020, villagers of Wotte village clashed with residents of Wessetto, in Wotte village, Grabo subdivision (San Pedro, Bas-Sassandra) of the ownership of a forest land. One person was killed.",1,1588021334
384,CDI2134,2134,27-April-2020,2020,1,Protests,Peaceful protest,Protesters (Ivory Coast),Labour Group (Ivory Coast),6,NA,NA,0,60,Western Africa,Ivory Coast,Abidjan,District Autonome D'Abidjan,NA,Abidjan,5.341,-4.028,1,Fratmat,National,"On 27 April 2020, a group of bus drivers demonstrated and blocked a road in Abobo neighbourhood of Abidjan city (District Autonome D'Abidjan, Abidjan). They denounced high transport fees imposed to them by the local transport union. [size=no report]",0,1588625468
384,CDI2135,2135,28-April-2020,2020,2,Violence against civilians,Attack,Oume Communal Militia (Ivory Coast),NA,4,Civilians (Ivory Coast),NA,7,47,Western Africa,Ivory Coast,Goh Djiboua,Goh,NA,Oume,6.383,-5.417,2,Soir Info,National,"Around 28 April 2020, a group of youths wearing military attire beat up suspected violators of the counter coronavirus curfew in Yebouebo and Kocoumboyaokro villages, Oume subdivision (Goh, Goh Djiboua). [size=no report]",0,1588625469
384,CDI2136,2136,30-April-2020,2020,1,Battles,Armed clash,Microbes Youth Militia,NA,4,Police Forces of the Ivory Coast (2011-),NA,1,14,Western Africa,Ivory Coast,Comoe,Indenie-Djuablin,NA,Agnibilekrou,7.131,-3.204,1,Soir Info,National,"On 30 April 2020, the police forces dismantled a training camp of 'microbes' and killed one of their chiefs in Agnibilekrou town (Indenie-Djuablin, Comoe)",1,1588625469
